name,year,selling_price,km_driven,fuel,transmission
Mahindra Bolero SLX,2008,305000,219000,Diesel,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,910000,110000,Diesel,Manual
Toyota Innova 2.5 VX 8 STR,2012,1100000,151000,Diesel,Manual
Maruti Baleno Zeta Automatic,2019,675000,5000,Petrol,Automatic
Maruti Alto LXi BSIII,2010,150000,91500,Petrol,Manual
Maruti Swift VDI BSIV,2015,550000,23000,Diesel,Manual
Volkswagen Vento Diesel Highline,2012,350000,40000,Diesel,Manual
Maruti Ritz VDi,2012,300000,70000,Diesel,Manual
Toyota Innova Crysta 2.8 GX AT BSIV,2018,1745000,10000,Diesel,Automatic
Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,Diesel,Manual
Honda Brio S MT,2016,400000,68000,Petrol,Manual
Hyundai Elantra CRDi SX,2013,700000,120000,Diesel,Manual
Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Manual
Hyundai Getz GLS,2005,65000,85000,Petrol,Manual
Maruti Wagon R VXI BS IV,2011,200000,94000,Petrol,Manual
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,Diesel,Manual
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,Diesel,Manual
Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,Diesel,Manual
Tata Indica V2 DL BSIII,2011,75000,140500,Diesel,Manual
Maruti Swift Dzire VXi,2010,240000,143000,Petrol,Manual
Maruti Alto K10 2010-2014 VXI,2013,240000,60000,Petrol,Manual
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2011,180000,120000,Diesel,Manual
Hyundai Santa Fe 4WD AT,2014,900000,80000,Diesel,Automatic
Mahindra Thar DI 4X4,2014,425000,63000,Diesel,Manual
Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Manual
Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Manual
Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,Petrol,Manual
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,Diesel,Manual
Maruti Ertiga VDI,2014,550000,50000,Diesel,Manual
Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,Diesel,Manual
Mahindra Xylo E8 BS4,2010,300000,40000,Diesel,Manual
Tata Indigo LS BSII,2006,100000,120000,Diesel,Manual
Mahindra Scorpio EX,2013,500000,195000,Diesel,Manual
Maruti Wagon R Stingray VXI,2013,350000,40000,Petrol,Manual
Tata Indica V2 DLS TC,2008,100000,40000,Diesel,Manual
Tata Safari DICOR 2.2 EX 4x2,2012,325000,120000,Diesel,Manual
Maruti Wagon R LXI BS IV,2012,220000,360003,Petrol,Manual
Maruti 800 AC,1999,55000,60000,Petrol,Manual
Renault KWID RXT,2016,330000,20000,Petrol,Manual
Mahindra Bolero 2011-2019 EX NON AC,2014,480000,37000,Diesel,Manual
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,950000,57000,Diesel,Manual
Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,Diesel,Manual
Hyundai Verna Xi (Petrol),2006,170000,110000,Petrol,Manual
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,Diesel,Manual
Tata Tigor 2017-2020 XZ Plus Diesel,2019,900000,8079,Diesel,Manual
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,1325000,114368,Diesel,Manual
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,350000,79990,Diesel,Manual
Ford Figo Diesel Titanium,2012,425000,81632,Diesel,Manual
Ford Aspire Titanium Diesel BSIV,2016,600000,155201,Diesel,Manual
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,Diesel,Manual
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,Diesel,Manual
Ford Figo Titanium Diesel BSIV,2010,325000,86017,Diesel,Manual
Mahindra XUV500 W8 2WD,2013,900000,85036,Diesel,Manual
Fiat Punto 1.3 Emotion,2013,350000,160254,Diesel,Manual
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,Diesel,Manual
Hyundai Verna VTVT 1.6 SX Option,2019,1100000,10000,Petrol,Manual
Tata Tiago 1.2 Revotron XZ,2017,520000,20000,Petrol,Manual
Mahindra Scorpio S10 7 Seater,2015,885000,170000,Diesel,Manual
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,Diesel,Automatic
Honda City 1.5 E MT,2008,229999,120000,Petrol,Manual
Maruti Ritz VDi,2013,409999,100000,Diesel,Manual
Ford Fiesta EXi 1.4 TDCi Ltd,2011,300000,110000,Diesel,Manual
Tata Indica V2 DLG TC,2008,175000,120000,Diesel,Manual
Maruti Alto LX,2000,108000,206000,Petrol,Manual
Maruti Celerio ZXI,2017,425000,40000,Petrol,Manual
Chevrolet Optra Magnum 2.0 LS,2011,272000,170000,Diesel,Manual
Hyundai i10 Magna 1.1L,2013,310000,70000,Petrol,Manual
Hyundai Creta 1.4 CRDi S Plus,2017,1125000,105000,Diesel,Manual
Hyundai Xcent 1.2 Kappa S Option,2014,450000,46000,Petrol,Manual
Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,Diesel,Manual
Hyundai Verna Transform SX VTVT,2011,400000,60000,Petrol,Manual
Honda City i DTEC VX,2015,760000,70000,Diesel,Manual
Maruti Alto LXi,2009,120000,90000,Petrol,Manual
Maruti Swift Dzire VDI,2019,757000,25000,Diesel,Manual
Maruti Alto 800 VXI,2015,270000,53000,Petrol,Manual
Tata Sumo MKII GX BS IV,2011,250000,90000,Diesel,Manual
Toyota Innova Crysta 2.5 VX BS IV,2011,800000,60000,Diesel,Manual
Toyota Fortuner 4x2 Manual,2014,1380000,150000,Diesel,Manual
Mahindra Thar CRDe AC,2014,700000,24000,Diesel,Manual
Honda Mobilio S i DTEC,2016,450000,100000,Diesel,Manual
Mahindra KUV 100 G80 K8,2018,650000,6000,Petrol,Manual
Mahindra XUV500 W8 2WD,2013,950000,49700,Diesel,Manual
Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,Diesel,Manual
Toyota Qualis Fleet A3,2000,200000,100000,Diesel,Manual
Maruti Swift Dzire AMT VXI,2019,600000,10000,Petrol,Automatic
Renault KWID RXT Optional,2019,290000,21000,Petrol,Manual
Maruti Alto K10 2010-2014 VXI,2013,215000,25000,Petrol,Manual
Renault KWID RXT Optional,2016,250000,22000,Petrol,Manual
Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,Diesel,Manual
Maruti Alto K10 VXI,2016,250000,20000,Petrol,Manual
Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Automatic
Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,30000,Diesel,Manual
Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,Diesel,Manual
Honda Jazz V CVT,2017,725000,6550,Petrol,Automatic
Hyundai Grand i10 CRDi Sportz,2016,480000,30000,Diesel,Manual
BMW X6 xDrive30d,2013,3750000,56000,Diesel,Automatic
Maruti Swift Dzire ZXI Plus,2018,795000,41779,Petrol,Manual
Honda Jazz 1.2 V i VTEC,2016,625000,54000,Petrol,Manual
Mercedes-Benz E-Class E250 CDI Avantgarde,2016,2900000,31000,Diesel,Automatic
Maruti Ignis 1.3 AMT Zeta,2017,625000,37000,Diesel,Automatic
Chevrolet Cruze LTZ AT,2011,440000,90000,Diesel,Automatic
Toyota Corolla Altis 1.8 G,2018,1400000,13534,Petrol,Manual
Toyota Corolla Altis 1.8 VL AT,2017,1450000,7000,Petrol,Automatic
Mercedes-Benz GLA Class 200 CDI SPORT,2017,2700000,23000,Diesel,Automatic
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,1925000,43000,Diesel,Automatic
Kia Seltos HTX Plus AT D,2020,1900000,5000,Diesel,Automatic
Maruti Ciaz RS ZDi Plus SHVS,2017,844999,70000,Diesel,Manual
Skoda Rapid 1.5 TDI AT Style Plus,2016,650000,99000,Diesel,Automatic
Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Manual
BMW 6 Series GT 630d Luxury Line,2018,6000000,28156,Diesel,Automatic
Honda Jazz 1.2 SV i VTEC,2015,610000,30000,Petrol,Manual
Toyota Fortuner 2.8 2WD AT BSIV,2018,2940000,100000,Diesel,Automatic
Hyundai Creta 1.6 CRDi SX,2017,1150000,63309,Diesel,Manual
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1825000,94000,Diesel,Automatic
Hyundai Elite i20 Asta Option CVT BSIV,2018,890000,29000,Petrol,Automatic
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Automatic
Lexus ES 300h,2019,5150000,20000,Petrol,Automatic
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Automatic
Tata Safari Storme EX,2015,503000,110000,Diesel,Manual
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Automatic
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Automatic
Maruti Wagon R LXI,2013,225000,58343,Petrol,Manual
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Manual
Honda Jazz VX,2016,550000,56494,Petrol,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Manual
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Automatic
Toyota Etios VX,2017,625000,25538,Petrol,Manual
Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Automatic
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Manual
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Automatic
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Automatic
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Automatic
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Automatic
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Automatic
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Automatic
Lexus ES 300h,2019,5150000,20000,Petrol,Automatic
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Automatic
Tata Safari Storme EX,2015,503000,110000,Diesel,Manual
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Automatic
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Automatic
Maruti Wagon R LXI,2013,225000,58343,Petrol,Manual
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Manual
Honda Jazz VX,2016,550000,56494,Petrol,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Manual
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Automatic
Toyota Etios VX,2017,625000,25538,Petrol,Manual
Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Automatic
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Manual
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Automatic
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Automatic
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Automatic
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Automatic
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Automatic
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Automatic
Lexus ES 300h,2019,5150000,20000,Petrol,Automatic
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Automatic
Tata Safari Storme EX,2015,503000,110000,Diesel,Manual
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Automatic
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Automatic
Maruti Wagon R LXI,2013,225000,58343,Petrol,Manual
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Manual
Honda Jazz VX,2016,550000,56494,Petrol,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Manual
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Automatic
Toyota Etios VX,2017,625000,25538,Petrol,Manual
Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Automatic
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Manual
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Automatic
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Automatic
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Automatic
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Automatic
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Automatic
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Automatic
Lexus ES 300h,2019,5150000,20000,Petrol,Automatic
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Automatic
Tata Safari Storme EX,2015,503000,110000,Diesel,Manual
Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Automatic
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Automatic
Maruti Wagon R LXI,2013,225000,58343,Petrol,Manual
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Manual
Honda Jazz VX,2016,550000,56494,Petrol,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Manual
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Automatic
Toyota Etios VX,2017,625000,25538,Petrol,Manual
Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Automatic
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Manual
BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Automatic
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Automatic
Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Automatic
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Automatic
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Automatic
Tata Indigo CS eLX BS IV,2017,385000,155000,Diesel,Manual
Maruti Celerio ZXI AT,2016,400000,35000,Petrol,Automatic
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,550000,50000,Diesel,Manual
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,270000,185000,Diesel,Manual
Tata Indigo CS LS (TDI) BS III,2013,200000,175000,Diesel,Manual
Renault KWID RXT Optional,2016,310000,11500,Petrol,Manual
Hyundai Xcent 1.2 CRDi S,2019,700000,3000,Diesel,Manual
Chevrolet Sail LT ABS,2015,480000,80000,Diesel,Manual
Maruti Alto LXI,2005,90000,40000,Petrol,Manual
Maruti Alto LXI,2005,80000,40000,Petrol,Manual
Maruti Ritz VDi,2015,350000,90000,Diesel,Manual
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,600000,100000,Diesel,Manual
Mahindra Scorpio M2DI,2011,350000,120000,Diesel,Manual
Maruti Vitara Brezza VDi Option,2018,770000,50000,Diesel,Manual
Mahindra Verito 1.5 D6 BSIV,2012,350000,25000,Diesel,Manual
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,600000,50000,Diesel,Manual
Mahindra TUV 300 T8,2016,750000,71000,Diesel,Manual
Maruti Wagon R VXI BS IV,2016,340000,40000,Petrol,Manual
Hyundai Elite i20 Petrol Sportz,2018,650000,31800,Petrol,Manual
Hyundai i10 Sportz,2014,300000,65000,Petrol,Manual
Maruti Alto 800 LXI,2014,204999,15000,Petrol,Manual
Mahindra Verito 1.5 D4 BSIII,2012,254999,70000,Diesel,Manual
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,650000,5000,Petrol,Manual
Hyundai EON Magna Plus,2017,280000,50000,Petrol,Manual
Tata Indica V2 DLS,2011,100000,80000,Diesel,Manual
Chevrolet Tavera Neo 3 9 Str BSIII,2014,575000,70000,Diesel,Manual
Maruti Vitara Brezza VDi,2017,780000,40000,Diesel,Manual
Mahindra Bolero 2011-2019 ZLX,2013,467000,157000,Diesel,Manual
Mahindra Scorpio S10 7 Seater,2015,1050000,90000,Diesel,Manual
Hyundai i10 Magna 1.1L,2011,225000,80000,Petrol,Manual
Hyundai Santro GLS I - Euro II,2004,90000,90000,Petrol,Manual
Hyundai Santro Xing XG AT eRLX Euro III,2004,80000,80000,Petrol,Automatic
Toyota Etios Liva GD,2012,300000,80000,Diesel,Manual
Mahindra Verito 1.5 D4 BSIV,2012,260000,70000,Diesel,Manual
Chevrolet Spark 1.0 E,2009,90000,50000,Petrol,Manual
Ford Figo Diesel ZXI,2012,280000,60000,Diesel,Manual
Mahindra Verito 1.5 D4 BSIII,2014,350000,106000,Diesel,Manual
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,229999,80000,Diesel,Manual
Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,550000,80000,Diesel,Manual
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,850000,110000,Diesel,Manual
Mahindra Bolero DI,2011,370000,120000,Diesel,Manual
Maruti Alto K10 LXI,2013,250000,27000,Petrol,Manual
Maruti Alto LXi,2007,95000,70000,Petrol,Manual
Maruti Wagon R LXI Minor,2010,180000,70000,Petrol,Manual
Mahindra NuvoSport N8 AMT,2016,650000,50000,Diesel,Automatic
Hyundai Xcent 1.2 CRDi E,2018,530000,60000,Diesel,Manual
Maruti Swift VVT ZXI,2017,610000,15000,Petrol,Manual
Maruti Zen Estilo VXI BSIV W ABS,2011,200000,40000,Petrol,Manual
Mahindra Xylo E4 8S,2010,265000,135000,Diesel,Manual
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,560000,26300,Petrol,Manual
Mahindra Bolero 2011-2019 SLE,2014,430000,120000,Diesel,Manual
Maruti Swift Dzire VDI,2017,711000,35000,Diesel,Manual
Maruti Swift Dzire VXI,2015,511000,30000,Petrol,Manual
Mahindra Bolero 2011-2019 ZLX,2012,450000,165000,Diesel,Manual
Tata Zest Revotron 1.2 XT,2015,325000,50000,Petrol,Manual
Renault Scala Diesel RxZ,2013,434999,120000,Diesel,Manual
Ford Figo Diesel LXI,2010,210000,100000,Diesel,Manual
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2009,140000,90000,Petrol,Manual
Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Manual
Maruti Ertiga VXI Limited Edition,2017,650000,70000,Petrol,Manual
Maruti Swift VDI BSIV,2008,250000,90000,Diesel,Manual
Hyundai i20 Sportz 1.2,2014,320000,72000,Petrol,Manual
Renault KWID Climber 1.0 MT,2017,290000,50000,Petrol,Manual
Mahindra Jeep Classic,1996,163000,5000,Diesel,Manual
Tata Nano CX,2013,80000,30000,Petrol,Manual
Tata Safari Storme EX,2017,1100000,20000,Diesel,Manual
Maruti Ciaz ZDi Plus,2015,600000,110000,Diesel,Manual
Renault KWID RXT,2017,340000,25000,Petrol,Manual
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,750000,120000,Diesel,Manual
Maruti Alto LX,2006,100000,40000,Petrol,Manual
Renault KWID RXT Optional,2019,395000,10000,Petrol,Manual
Maruti Wagon R VXI Minor,2010,200000,65000,Petrol,Manual
Maruti Eeco CNG 5 Seater AC BSIV,2019,450000,10000,CNG,Manual
Mahindra Verito 1.4 G4 BSIV,2012,180000,110000,Petrol,Manual
Mahindra Bolero DI,2008,190000,120000,Diesel,Manual
Maruti Eeco 5 Seater AC BSIV,2015,310000,72000,Petrol,Manual
Maruti Ritz VDi,2014,351000,89100,Diesel,Manual
Chevrolet Optra 1.6 LT Royale,2006,190000,94000,Petrol,Manual
Hyundai EON Magna Plus,2015,225000,120000,Petrol,Manual
Chevrolet Spark 1.0 LT,2012,130000,110000,Petrol,Manual
Maruti Ciaz Alpha Diesel,2018,1000000,50000,Diesel,Manual
Tata Indica V2 DLS TC,2004,55000,90000,Diesel,Manual
Chevrolet Sail 1.2 LT ABS,2014,330000,23000,Petrol,Manual
Maruti Omni MPI STD BSIV,2013,166000,50000,Petrol,Manual
Mahindra Xylo D4 BSIII,2013,200000,300000,Diesel,Manual
Maruti Alto K10 2010-2014 VXI,2011,140000,50000,Petrol,Manual
Maruti Eeco CNG 5 Seater AC BSIV,2017,370000,140000,CNG,Manual
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,16000,Petrol,Automatic
Hyundai i20 Active 1.4,2015,500000,126000,Diesel,Manual
Hyundai Xcent 1.2 VTVT SX,2019,570000,15000,Petrol,Manual
Maruti Swift Dzire 1.2 Vxi BSIV,2010,210000,200000,Petrol,Manual
Maruti Alto LXi,2009,120000,120000,Petrol,Manual
Hyundai Getz GLX,2005,95000,120000,Petrol,Manual
Hyundai i10 Sportz AT,2010,196000,110000,Petrol,Automatic
Maruti Eeco 5 Seater AC BSIV,2016,392000,38000,Petrol,Manual
Tata Manza Aura Plus Safire,2010,150000,104000,Petrol,Manual
Honda BR-V i-VTEC E MT,2017,595000,120000,Petrol,Manual
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,833000,35000,Diesel,Automatic
Maruti Swift VDI,2011,280000,210000,Diesel,Manual
Maruti 800 Std BSII,2003,35000,35000,Petrol,Manual
Maruti Ritz VDi,2009,180000,85000,Diesel,Manual
Maruti Wagon R VXi BSII,2012,225000,80000,Petrol,Manual
Mercedes-Benz New C-Class 220 CDI AT,2012,1400000,50000,Diesel,Automatic
Hyundai i20 Era Diesel,2009,340000,40000,Diesel,Manual
Toyota Innova 2.5 GX 8 STR,2010,550000,216000,Diesel,Manual
Maruti Wagon R VXI BS IV,2017,400000,65000,Petrol,Manual
Hyundai Getz GLE,2006,90000,100000,Petrol,Manual
Maruti Ciaz VDi Plus SHVS,2015,650000,84000,Diesel,Manual
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,730000,210000,Diesel,Manual
Chevrolet Aveo U-VA 1.2 LS,2010,125000,60000,Petrol,Manual
Hyundai Getz GLE,2006,81000,100000,Petrol,Manual
Maruti Swift Glam,2007,170000,78000,Petrol,Manual
Honda City 1.5 EXI,2002,81000,161000,Petrol,Manual
Maruti Alto LX,2005,95000,70000,Petrol,Manual
Tata Nano Cx BSIV,2010,55000,50000,Petrol,Manual
Renault Lodgy World Edition 110PS,2017,880000,65000,Diesel,Manual
Renault KWID RXL,2015,200000,50000,Petrol,Manual
Maruti Wagon R VXI 1.2,2019,480000,25000,Petrol,Manual
Mahindra Bolero 2011-2019 Plus AC,2013,480000,100000,Diesel,Manual
Hyundai i20 1.2 Asta,2018,700000,6000,Petrol,Manual
Honda BRV i-DTEC V MT,2016,850000,72113,Diesel,Manual
Tata Indigo CR4,2012,300000,40000,Diesel,Manual
Hyundai i20 1.2 Asta Option,2017,650000,8000,Petrol,Manual
Maruti Ritz VXI,2010,220000,20000,Petrol,Manual
Tata Indigo CS LS (TDI) BS-III,2014,300000,45000,Diesel,Manual
Maruti Swift Dzire VDI,2014,450000,80000,Diesel,Manual
Maruti Swift VDI BSIV,2014,400000,90000,Diesel,Manual
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2018,1030000,25000,Diesel,Manual
Tata Manza Aura Quadrajet,2010,190000,100000,Diesel,Manual
Ford Fiesta 1.4 Duratec EXI,2006,140000,60000,Petrol,Manual
Hyundai i20 Active S Diesel,2018,800000,30000,Diesel,Manual
Mahindra Scorpio LX 2.6 Turbo,2007,229999,120000,Diesel,Manual
Tata Safari DICOR 2.2 EX 4x2,2011,300000,80000,Diesel,Manual
Volkswagen Vento Diesel Highline,2011,375000,69000,Diesel,Manual
Chevrolet Beat LT,2010,140000,75000,Petrol,Manual
Maruti Alto LX,2004,60000,113000,Petrol,Manual
Hyundai Xcent 1.1 CRDi S Option,2014,420000,90000,Diesel,Manual
Renault Pulse RxZ,2012,300000,100000,Diesel,Manual
Tata Indica Vista Quadrajet VX,2012,150000,110000,Diesel,Manual
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,600000,90000,Diesel,Manual
Ford Figo Diesel Titanium,2011,204999,100000,Diesel,Manual
Hyundai Xcent 1.2 CRDi SX,2017,625000,50000,Diesel,Manual
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,280000,200000,Diesel,Manual
Hyundai Santa Fe 2WD AT,2014,1050000,146000,Diesel,Automatic
Chevrolet Optra Magnum 1.6 LT Petrol,2009,250000,80000,Petrol,Manual
Tata New Safari DICOR 2.2 EX 4x2,2010,535000,96443,Diesel,Manual
Honda Accord 2.4 AT,2009,400000,100000,Petrol,Automatic
Maruti Swift AMT VXI,2019,610000,10000,Petrol,Automatic
Maruti Swift Dzire VDI,2014,509999,110000,Diesel,Manual
Tata Safari Storme VX,2014,521000,86000,Diesel,Manual
Maruti Swift Dzire VDI,2014,511000,100000,Diesel,Manual
Hyundai i20 Sportz 1.4 CRDi,2014,451000,91000,Diesel,Manual
Hyundai i10 Sportz,2009,170000,100000,Petrol,Manual
Maruti Swift Dzire VDI,2013,450000,120000,Diesel,Manual
Honda City 1.5 V Elegance,2011,375000,90000,Petrol,Manual
Maruti Alto 800 LXI,2016,305000,60000,Petrol,Manual
Renault KWID RXT,2016,315000,51500,Petrol,Manual
Chevrolet Sail 1.3 LS,2016,250000,60000,Diesel,Manual
Ford Figo Diesel EXI,2012,200000,104500,Diesel,Manual
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000,30000,Diesel,Manual
Renault Duster 110PS Diesel RxL,2012,400000,120000,Diesel,Manual
Maruti Swift ZDi,2014,509999,100000,Diesel,Manual
Honda Civic 1.8 V MT,2008,375000,90000,Petrol,Manual
Maruti Wagon R LXI,2005,150000,150000,Petrol,Manual
Maruti Wagon R AX,2006,75000,60000,Petrol,Automatic
Hyundai Verna 1.4 VTVT,2015,465000,50000,Petrol,Manual
Hyundai Grand i10 1.2 CRDi Asta,2019,700000,10000,Diesel,Manual
Mahindra Scorpio 1.99 S10,2015,950000,120000,Diesel,Manual
Hyundai i20 1.2 Asta,2017,610000,40000,Petrol,Manual
Hyundai Santro GS zipDrive - Euro II,2004,60000,120000,Petrol,Manual
Maruti Alto 800 LXI,2014,235000,50000,Petrol,Manual
Maruti Eeco 5 Seater AC BSIV,2017,330000,90000,Petrol,Manual
Nissan Terrano XE 85 PS,2014,472000,90000,Diesel,Manual
Maruti Swift VXI,2019,585000,10000,Petrol,Manual
Mahindra Supro LX 8 Str,2018,500000,10000,Diesel,Manual
Maruti Alto K10 VXI,2019,360000,27000,Petrol,Manual
Maruti Swift Dzire VDI,2016,649000,70000,Diesel,Manual
Maruti Omni MPI CARGO BSIV,2017,200000,50000,Petrol,Manual
Maruti Swift 1.3 VXi,2008,240000,60000,Petrol,Manual
Hyundai Grand i10 CRDi Magna,2014,400000,110000,Diesel,Manual
Maruti Celerio VDi,2015,250000,100000,Diesel,Manual
Mahindra Marazzo M6,2018,1200000,50000,Diesel,Manual
Maruti Swift Vdi BSIII,2009,250000,105000,Diesel,Manual
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,819999,110000,Diesel,Manual
Mahindra XUV500 W8 2WD,2014,800000,60000,Diesel,Manual
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,429000,49102,Petrol,Manual
Hyundai Santro Xing GLS,2010,150000,60000,Petrol,Manual
Maruti Swift VDI BSIV,2010,315000,120000,Diesel,Manual
Chevrolet Beat Diesel LT,2012,170000,90000,Diesel,Manual
Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Manual
Hyundai Grand i10 AT Asta,2015,465000,63063,Petrol,Automatic
Renault Duster 110PS Diesel RxL,2013,360000,81000,Diesel,Manual
